Genes	cor	pvalue	Diff_group	gene_upper	is_bcell	to_label	adjusted_pvalue
7SK_5	0.195401927168007	0.0303181394301927	Benign_Tumor	7SK_5	FALSE	FALSE	0.0353084344411001
7SK_7	0.40168841204219	4.12603332267641e-06	Benign_Tumor	7SK_7	FALSE	FALSE	1.24172398817983e-05
A1BG	0.204606556185369	0.0232015778382375	Benign_Tumor	A1BG	FALSE	FALSE	0.0276152683945944
A1BG-AS1	0.446874447880789	2.20394847219566e-07	Benign_Tumor	A1BG-AS1	FALSE	FALSE	9.62211650056154e-07
A2M	0.442018271210439	3.0828062594998e-07	Benign_Tumor	A2M	FALSE	FALSE	1.28640251551957e-06
A4GALT	0.314649828639349	0.000393398064844975	Benign_Tumor	A4GALT	FALSE	FALSE	0.000692325467717346
AAAS	0.374206955311398	2.01022172764371e-05	Benign_Tumor	AAAS	FALSE	FALSE	5.0012844926078e-05
AACS	0.507629843106034	2.06509227080076e-09	Benign_Tumor	AACS	FALSE	FALSE	1.67063282769767e-08
AADAT	0.280332275798464	0.00168653226327564	Benign_Tumor	AADAT	FALSE	FALSE	0.00255192061173645
AAGAB	0.29052867815211	0.00111478748319189	Benign_Tumor	AAGAB	FALSE	FALSE	0.00175856822080098
AAK1	0.410251266868644	2.44569571051518e-06	Benign_Tumor	AAK1	FALSE	FALSE	7.87026831119075e-06
AAMDC	0.264104078873622	0.00315983837760016	Benign_Tumor	AAMDC	FALSE	FALSE	0.00447224966412499
AAMP	0.341240075004591	0.000112236068011464	Benign_Tumor	AAMP	FALSE	FALSE	0.00022808981954098
AAR2	0.381565763016462	1.33382723997814e-05	Benign_Tumor	AAR2	FALSE	FALSE	3.50222417942667e-05
AARS1	0.436647788708263	4.44132478635686e-07	Benign_Tumor	AARS1	FALSE	FALSE	1.76081341389856e-06
AARS2	0.538511681140366	1.32287318335741e-10	Benign_Tumor	AARS2	FALSE	FALSE	1.53396158484177e-09
AARSD1	0.437834374088787	4.09932259917128e-07	Benign_Tumor	AARSD1	FALSE	FALSE	1.64787689305355e-06
AASDH	0.128939634134555	0.155215258223748	Benign_Tumor	AASDH	FALSE	FALSE	0.164410775154294
