ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0019814	GO:0019814	immunoglobulin complex	107/7816	107/12988	1	1.66171954964176	8.44906209194446	1.87897951825456e-24	1.32843851940598e-21	1.16892304767205e-21	IGHV7-4-1/IGHV1-3/IGHG4/IGLV2-18/IGKV1D-13/IGHD/IGHV1-69/IGHV3-64D/IGHV1-69D/IGHV2-70D/IGHV4-39/IGHV5-10-1/IGHG1/IGLV8-61/IGHG2/IGHV3-66/IGKV1-5/IGHV4-4/IGLV2-23/IGKV1-6/IGHV4-61/IGKV3-15/IGLV3-10/IGLV2-14/IGHV3-13/IGLV10-54/IGKV3-20/IGLC1/IGHV4-31/IGLV3-21/IGKV2-30/IGLL5/IGLV3-19/IGHV3-48/IGLV2-8/IGLV2-11/IGHV3-20/IGKV1-17/IGHV5-51/IGHV3-30/IGKC/IGKV1D-39/IGLC2/IGHG3/IGLC3/IGHV4-34/IGKV4-1/IGKV3D-11/IGHV3-43/IGLV9-49/IGHV3-11/IGHV3-21/IGKV6-21/IGHA2/IGLV1-51/IGLV1-44/IGKV1-12/IGHV4-59/IGHV3-49/IGHV2-5/IGHV3-23/IGHV3-33/IGHV2-70/IGLV7-46/IGKV2D-29/IGHA1/IGKV2-28/IGHV3-7/IGHV3-74/IGLV3-9/IGLV7-43/IGHV1-24/IGLV3-1/IGKV1-39/IGHV3-64/IGHV2-26/IGLV3-25/IGHV3-53/IGLC7/IGKV1-9/IGKV2-24/IGHV3-73/IGLV6-57/IGKV3D-20/IGLV1-47/IGHV4-28/IGLV5-45/IGHV1-18/JCHAIN/IGLV1-40/IGHV6-1/IGKV1-16/IGHV3-72/IGHM/IGLV4-69/IGHV1-58/IGLV1-36/IGKV3D-15/IGKV1-27/CD79A/IGHV3-15/LIME1/IGLV3-27/IGKV1-8/CD79B/PIGR/SYK	107	go_cc
GO:0009897	GO:0009897	external side of plasma membrane	185/7816	241/12988	0.767634854771784	1.27559384516069	5.30874029603116	2.95332577304404e-08	1.04400066077107e-05	9.18639753615279e-06	HLA-H/CLEC4E/FCGR2C/MICA/TRGC2/HLA-G/SCNN1G/THBS1/ICOSLG/SELE/PLAUR/ITGAX/PLAU/BTN3A2/THBD/CSF3R/HLA-C/CD69/IL1RL1/EPOR/VTCN1/DAG1/CX3CR1/CTSB/GFRA3/CD163/CD8A/LDLR/FCGR2B/CD9/SLC7A5/IL4R/HLA-DRB1/BTNL9/ICAM1/ITGB6/GSR/ANPEP/LIFR/CD79A/LILRB1/ITGAM/CD27/CXCR3/CLPTM1/TRGC1/SLAMF7/CD14/HYAL2/IL1R1/TFRC/KIT/LAMP1/P4HB/LRRC24/LY9/AZGP1/CALR/B4GALT1/HLA-B/CXCR6/FLOT1/CLEC10A/INSR/HLA-E/FCGR3A/HLA-F/CSF2RA/B2M/S1PR1/CSF2RB/CXCR4/BTN2A1/FCGR2A/CD74/CD34/ITGB2/LY75/CD5/BTN2A2/CD40/ITGA5/TCN2/ATP6AP2/FCER1A/SDC1/CD3D/CD36/SPN/IL3RA/FOLR2/CLEC14A/CD4/CD83/SLC2A4/SEMA7A/HLA-A/CD22/CD3E/ACKR3/MFGE8/CCR4/CDH5/TRGV10/ENG/GP2/ADAM9/COLEC11/ABCC4/EFNA5/NCAM1/IL2RB/SCNN1B/CD59/BTN3A1/ITGAE/OSMR/CD79B/CCR1/PRNP/CCR7/IL12RB1/ADA/CXCL12/ACE/ENPEP/PECAM1/CLCN3/CXCL10/CAPN2/TMC1/IL7R/TGFBR2/FCGRT/MILR1/BTN3A3/FCER1G/AMOT/ECE1/SCNN1A/FCGR1A/LAG3/TLR4/CD33/ST14/CD276/TRGV9/CD209/ITGA3/F3/IL11RA/ITGA2/CD1E/ANTXR1/ITGB3/MCAM/ABCA1/ATP1B2/VCAM1/CD207/CD248/KLRK1/ACKR2/HEG1/PRLR/CD2/CD226/THY1/P2RX7/CA4/IDE/P2RX1/RTN4R/CD86/CCR5/SELL/MS4A2/PTPRC/FAS/CD84/LEPR/ANTXR2/CD24/IL2RG/CLEC2D	185	go_cc
GO:0030667	GO:0030667	secretory granule membrane	188/7816	248/12988	0.758064516129032	1.25969062634133	5.07592080736543	1.18889343935333e-07	2.80182553874267e-05	2.46538955318532e-05	HLA-H/CD177/NBEAL2/SLC11A1/TMED2/ATAD3B/SLC2A3/CYSTM1/PLAUR/ITGAX/C5AR1/STK10/PLAU/HLA-C/CPE/VAMP1/FPR1/RHOF/RAB5C/UBR4/SURF4/SERPINB6/CYB561/TOM1/NFASC/RAB27B/SLC2A5/SLC18A2/LILRB3/APLP2/RAB3A/CD9/TMED10/VAMP2/SIRPA/LAMTOR1/PTPRN2/CKAP4/LAIR1/LAMP3/AP1M1/ACP3/AP2A2/ATP6V0A1/TMEM179B/CD44/ANPEP/ALDH3B1/BRI3/RAB24/TMBIM1/EXOC3/LILRB2/DDOST/ORMDL3/ITGAM/STXBP2/STBD1/CCDC136/STING1/TMC6/PTAFR/SPACA6/ITGAL/CD14/TYROBP/SNCA/SLC44A2/ADAM10/LAMP1/ANXA4/B4GALT1/HLA-B/ABCA3/TBC1D10C/BST2/HMOX2/DNAJC5/RAB3D/ICA1/CD55/CPNE1/FCGR2A/RHOG/MGST1/KIF1A/ITGB2/TMEM63A/ATP6V0C/ARL8A/PGRMC1/SIGLEC9/VAMP8/RAB6A/ANXA7/PSAP/TMEM63B/SNAP25/LAMP2/TLR2/ATP6AP2/CD36/LGALS3/DOK3/HYAL3/KCNAB2/IGF2R/NFAM1/STX3/CD300A/MFGE8/NDUFC2/CD93/CD46/NCSTN/MLEC/GP2/LAMTOR2/DIAPH1/ABCC4/CEACAM6/RAP2B/FLOT2/CD59/MAGT1/CD68/CYB5R1/CYBB/RAC1/ADAM8/RAB18/RAB5B/CMTM6/PKP1/TNFRSF1B/ADGRE5/TMEM184A/LPCAT1/RAB7A/CD47/VAPA/PHACTR2/DEGS1/PECAM1/RAB31/IQGAP2/FCER1G/CD63/HGSNAT/MOXD1/CD33/PTPRJ/RAB26/PIGR/BSG/SNAP29/PSEN1/NCKAP1L/C3AR1/CAV1/HVCN1/ITGB3/GLIPR1/SLC27A2/STOM/RAB4B/CAV2/ATP11B/ITPR3/MME/COPB1/CA4/ATP6V1D/P2RX1/CEACAM1/GAA/SELL/PTPRC/PRCP/DYNLL1/TSPAN14/CD53/RHOA/TMEM30A/ICA1L/RAB10/SNAP23/SYNGR1	188	go_cc
GO:0072562	GO:0072562	blood microparticle	76/7816	90/12988	0.844444444444444	1.40322984191971	4.71878479651715	4.97413297195927e-07	8.79178002793801e-05	7.73608575375771e-05	ORM1/IGHG4/ORM2/IGHD/IGHG1/IGHG2/IGKV1-5/IGKV3-15/IGHV3-13/IGKV3-20/IGLC1/IGLV3-21/IGKV2-30/IGKV1-17/IGKC/IGLC2/IGHG3/IGLC3/IGKV4-1/IGHA2/IGHV3-23/IGHA1/IGHV3-7/IGKV1-39/IGLV3-25/HSPA2/APOL1/IGLV1-47/JCHAIN/IGHM/PFN1/ACTG1/GRIPAP1/HSPA1A/SLC2A1/DNPEP/HSPA6/POTEE/CIB2/INTS11/F13A1/OAZ3/HSPA1B/CLIC1/ANGPTL4/SERPING1/TFRC/ACTB/A2M/C3/C1RL/C4B/PSMC5/GSN/C1QB/TF/ENG/CFB/C4A/C1R/BCHE/ACTA1/ACTC1/ACSM1/CFH/C1QC/MSN/STOM/TGFB1/CP/HSPA1L/ZBTB38/ZNF177/YWHAZ/LGALS3BP/APOE	76	go_cc
GO:0101002	GO:0101002	ficolin-1-rich granule	124/7816	164/12988	0.75609756097561	1.25642209850962	4.06240349267055	2.05506820756854e-05	0.00258962099056334	0.00227866597993439	NBEAL2/SLC11A1/ATAD3B/SLC2A3/ITGAX/IDH1/ACTR1B/PSMD3/ALOX5/FPR1/UBR4/SERPINB6/ALDOA/ACLY/NFASC/CTSB/HSPA1A/IMPDH1/PRDX4/CTSH/PNP/HSPA6/SIRPA/LAMTOR1/COTL1/PTPRN2/PGAM1/CANT1/HSPA1B/AP2A2/ATP6V0A1/PYGL/TMEM179B/LILRB2/GUSB/CDA/GPI/STBD1/GSTP1/APEH/CTSZ/LAMP1/ARPC5/MMP9/PSMA2/TBC1D10C/ASAH1/CD55/PAFAH1B2/CST3/ITGB2/ALDOC/ALAD/ATP6V0C/ARL8A/CSTB/LAMP2/PLEKHO2/ATP6AP2/GYG1/LGALS3/DOK3/PGM1/GSN/CD300A/PSMD7/CD93/PSMB1/MVP/TIMP2/CAT/VCP/DIAPH1/CTSS/CAPN1/XRCC6/RAC1/CRISPLD2/ADAM8/GLB1/PDAP1/PKP1/SRP14/PSMC2/PKM/PPIE/MNDA/FTH1/CSNK2B/LRG1/FCER1G/DDX3X/CTSD/NME2/CAND1/PSMB7/PSMD2/HSP90AA1/MAPK1/BIN2/PSMD13/QPCT/DYNLT1/ATG7/OSTF1/PSMD6/AMPD3/PFKL/PPIA/NCKAP1L/HUWE1/GMFG/CAB39/GNS/JUP/COPB1/DBNL/PSMD11/GAA/PRCP/DYNLL1/RHOA/KPNB1/ACTR10	124	go_cc
GO:0098552	GO:0098552	side of membrane	338/7816	490/12988	0.689795918367347	1.14624736281411	4.05679685479105	2.38753909532364e-05	0.00258962099056334	0.00227866597993439	HLA-DQA2/ANK1/HLA-H/RPS28/HLA-DQB2/HLA-DRB5/CD177/RPS26/CLEC4E/FCGR2C/CHMP4BP1/MICA/MSLN/MDGA1/TRGC2/HLA-G/SCNN1G/THBS1/TYK2/ICOSLG/PSCA/HLA-DQB1/GAS1/SELE/IKBKB/PLAUR/ITGAX/LYPD5/HLA-DQA1/MAP2K2/LY6D/PLAU/BTN3A2/LYPD3/SOCS3/THBD/CSF3R/HLA-C/BLOC1S1/CD69/IL1RL1/LDLRAP1/CYTH1/EPOR/VTCN1/DAG1/GNAS/GRK2/CX3CR1/ALG10B/AP2S1/ALG1/MIEN1/CTSB/GFRA3/MICALL1/CD163/CHMP4B/CD8A/LDLR/FCGR2B/LITAF/CD9/BCAP31/SLC7A5/IL4R/DPEP2/HLA-DRB1/BTNL9/GNG10/KXD1/GNG4/S100A6/LYPD6B/ICAM1/CFC1/ITGB6/GSR/JAK3/PTPN1/RPS29/RASA3/GNB1/AP2A2/ANPEP/VNN2/RASAL3/LIFR/GEM/CD79A/MYH10/LILRB1/ITGAM/CD27/CDK16/C2CD2L/PTPN7/CXCR3/SNAPIN/CLPTM1/CDH1/TRGC1/SLAMF7/CD14/HM13/HYAL2/IL1R1/HCK/DNAJC19/CTSA/NCF1/TFRC/RGS1/DNAJB2/GNA15/KIT/GNA11/EFNA1/LAMP1/P4HB/ALG3/LRRC24/G6PD/LY9/AZGP1/CALR/B4GALT1/AP2A1/SYAP1/HLA-B/CXCR6/FLOT1/CLEC10A/EFNA3/INSR/BST2/HLA-E/FCGR3A/HLA-F/CSF2RA/B2M/S1PR1/ALG12/ATP2C2/CSF2RB/CD55/CXCR4/BTN2A1/MYH9/ALPL/GNA12/FCGR2A/CD74/CD34/SHROOM4/ITGB2/DIABLO/LY75/CD5/BTN2A2/BORCS8/HLA-DPB1/TAPBP/HLA-DPA1/CD40/BLOC1S2/EFNA4/ITGA5/DNAJA3/BORCS7/TCN2/ATP6AP2/FCER1A/SDC1/CD3D/CD36/SPN/IL3RA/KCNAB2/FOLR2/LILRB4/CLEC14A/CD4/CD83/SLC2A4/SEMA7A/HLA-A/CD22/CD3E/ACKR3/MFGE8/HLA-DRA/CCR4/CPM/CDH5/OSBPL2/TRGV10/ENG/GP2/ADAM9/COLEC11/FADD/ABCC4/EFNA5/NCAM1/GNG7/LSAMP/ALG5/IL2RB/PPP1R9B/CEACAM6/RNF31/SCNN1B/CD59/BTN3A1/HID1/MYD88/ITGAE/MCF2L/TIRAP/OSMR/CD79B/PKP4/GNAI2/PKD2/EPN3/CCR1/PRNP/KCNAB1/CCR7/IL12RB1/DNAJA1/ADA/CXCL12/BIRC2/CD52/ACE/ENPEP/CHMP7/ALG2/RAB5A/PECAM1/CLCN3/CXCL10/GNB5/PRSS21/CAPN2/TMC1/IL7R/SNX18/TGFBR2/FCGRT/MILR1/BTN3A3/FCER1G/AMOT/ECE1/SCNN1A/FCGR1A/GNG5/LAG3/CDIP1/BDH1/TLR4/GM2A/CD33/ALG14/ST14/CD276/TRGV9/CD209/ITGA3/F3/IL11RA/TRAF3/ITGA2/CD48/CD1E/TRAF2/ALG13/LY6E/ANTXR1/FKBP1A/ESYT2/ITGB3/MCAM/ABCA1/MTSS2/GNAO1/ATP1B2/VCAM1/CD207/CD248/KLRK1/SAMD12/SAMD10/RGMA/ACKR2/HEG1/RGS2/CACNB4/MTSS1/PRLR/CD2/CD226/NDUFAF5/THY1/NTM/JUP/P2RX7/ITPR3/PTP4A1/THADA/BECN1/CA4/IDE/P2RX1/CHMP4A/RTN4R/TNFRSF10C/CD86/CCR5/ACP1/TRADD/SELL/MS4A2/PTPRC/FAS/RHOA/CD84/LEPR/ANTXR2/CD24/KCNIP1/IL2RG/PPP3CA/CLEC2D/KCNQ1	338	go_cc
GO:0005766	GO:0005766	primary lysosome	101/7816	131/12988	0.770992366412214	1.28117308789174	3.97609739370579	2.93026420431496e-05	0.00258962099056334	0.00227866597993439	HLA-H/ORM2/CTSG/CYB5R3/FPR1/NAPRT/RAB5C/SURF4/ACLY/TOM1/IMPDH1/ANXA11/TUBB4B/LAMTOR1/CKAP4/ACP3/TMEM179B/FUCA1/NPC2/BRI3/DDOST/GUSB/GALNS/STXBP2/UNC13D/PYGB/AGA/CTSA/LAMP1/B4GALT1/C3/BST2/DNAJC5/RAB3D/LYZ/ANXA2/CPNE1/DNAJC3/MGST1/ADA2/ATP6V0C/ARL8A/CPPED1/VAMP8/PSAP/HEBP2/LAMP2/NFAM1/MAN2B1/STX3/NDUFC2/PRDX6/TRAPPC1/NCSTN/PRKCD/VCP/CEACAM6/C6orf120/MAGT1/DYNC1H1/CD68/HEXB/GLB1/PTGES2/FTL/CMTM6/TUBB/FUCA2/GRN/GLA/STK11IP/LPCAT1/VAPA/MNDA/VAT1/ARSA/MAPK1/PLAC8/CD63/GM2A/PIGR/TXNDC5/SNAP29/PSEN1/C3AR1/GLIPR1/GCA/STOM/GDI2/PADI2/ATP11B/GNS/CREG1/TOLLIP/GAA/PRCP/CAP1/TMEM30A/ACTR10/SNAP23/SYNGR1	101	go_cc
GO:0042582	GO:0042582	azurophil granule	101/7816	131/12988	0.770992366412214	1.28117308789174	3.97609739370579	2.93026420431496e-05	0.00258962099056334	0.00227866597993439	HLA-H/ORM2/CTSG/CYB5R3/FPR1/NAPRT/RAB5C/SURF4/ACLY/TOM1/IMPDH1/ANXA11/TUBB4B/LAMTOR1/CKAP4/ACP3/TMEM179B/FUCA1/NPC2/BRI3/DDOST/GUSB/GALNS/STXBP2/UNC13D/PYGB/AGA/CTSA/LAMP1/B4GALT1/C3/BST2/DNAJC5/RAB3D/LYZ/ANXA2/CPNE1/DNAJC3/MGST1/ADA2/ATP6V0C/ARL8A/CPPED1/VAMP8/PSAP/HEBP2/LAMP2/NFAM1/MAN2B1/STX3/NDUFC2/PRDX6/TRAPPC1/NCSTN/PRKCD/VCP/CEACAM6/C6orf120/MAGT1/DYNC1H1/CD68/HEXB/GLB1/PTGES2/FTL/CMTM6/TUBB/FUCA2/GRN/GLA/STK11IP/LPCAT1/VAPA/MNDA/VAT1/ARSA/MAPK1/PLAC8/CD63/GM2A/PIGR/TXNDC5/SNAP29/PSEN1/C3AR1/GLIPR1/GCA/STOM/GDI2/PADI2/ATP11B/GNS/CREG1/TOLLIP/GAA/PRCP/CAP1/TMEM30A/ACTR10/SNAP23/SYNGR1	101	go_cc
GO:0005765	GO:0005765	lysosomal membrane	285/7816	412/12988	0.691747572815534	1.14949046516481	3.79060275976087	7.42977103431145e-05	0.0052528481212582	0.00462209966450323	HLA-DQA2/HLA-H/HLA-DQB2/HLA-DRB5/TPCN2/CHMP4BP1/FLCN/ABCC10/SLC11A1/ATP6V0D1/CLCN6/HLA-DQB1/TMEM9/SZT2/SEC13/HLA-DQA1/ABCD4/ATP6V0B/UBA1/TMEM59/CSF3R/TPCN1/AP1M2/BLOC1S1/FPR1/MARCHF9/ATP6AP1/AP5B1/SIDT2/TFE3/SLC38A7/RAB5C/PIP4P1/SLC48A1/CHMP2A/AP3D1/SURF4/IFITM2/ATP6V0A2/TMEM165/ITFG2/GLMP/IFITM1/CYB561/SYT7/SLC35F6/AP1B1/TOM1/RNASEK/AP2S1/DPP4/TMEM79/CTNS/AP5S1/NPRL3/CHMP4B/LDLR/IFITM3/SLC15A3/ATRAID/CLN3/LITAF/SLC7A5/HLA-DRB1/VPS18/KXD1/LAMTOR1/SLC39A14/VPS16/HLA-DOA/CKAP4/KPTN/TM9SF1/SLC26A11/ELAPOR1/LAMP3/CLN5/ACP2/CHMP6/GNB1/AP1M1/ACP3/AP2A2/ATP6V0A1/TMEM179B/ANPEP/SLC30A4/BRI3/TMBIM1/DDOST/RRAGA/WDR59/ABCB9/SCARB1/SNAPIN/DEPDC5/NKG7/RNF167/RILP/CTSA/RNF152/MCOLN1/SLC44A2/GNA11/LAMP1/SLC3A2/MEAK7/ATG16L1/B4GALT1/AP2A1/PGAP6/KCNK6/ABCA3/SLC66A1/FLOT1/CLEC10A/PI4K2A/BST2/DNAJC5/RAB3D/HLA-F/B2M/CLCN7/ARL8B/CCZ1/ANXA2/CPNE1/CD74/ATP6V1G1/PLD3/MGST1/STARD3NL/TMEM63A/HLA-DMA/ATP6V0C/ARL8A/ABCB6/BORCS8/AP1S1/CHMP1A/SLC49A4/HLA-DPB1/HLA-DPA1/VAMP8/BLOC1S2/NPRL2/PSAP/ATP6V0E2/BORCS7/CHMP1B/TMEM63B/LAMP2/ATP6AP2/CLTA/PLEKHM1/TMEM203/TSC2/NFAM1/HPS4/LAPTM5/STARD3/ATP6V1F/MYO7A/NDUFC2/SAR1B/HLA-DRA/CHMP2B/NCSTN/CHMP5/NPC1/LAMTOR2/SESN2/SLC29A3/ANKFY1/MFSD12/PRMT1/CEACAM6/SLC2A8/ZFYVE26/MTOR/SLC17A5/MAGT1/GBA1/LRRC8E/CD68/UBA52/ATP13A2/ZNRF2/SLC31A2/CLEC16A/VOPP1/LRRC8A/AP1G1/SLC12A4/MFSD1/LAMTOR5/PLEKHM2/CMTM6/VPS11/GRN/LAPTM4A/TM6SF1/CFTR/ARRB1/MPEG1/DRAM1/P2RX4/CYB561A3/STK11IP/LPCAT1/RAB7A/ENPEP/VAPA/CHMP7/TSC1/MARCHF8/CLCN3/CYBRD1/ITM2C/NAPG/VTI1B/RPTOR/CTSD/ECE1/GIMAP5/CDIP1/VPS39/ABHD6/CD63/SLC36A1/HGSNAT/NEU3/SPHK2/ATP6V1E1/ENTPD4/PIGR/TRAF3IP3/SPG11/ATP6V0E1/TBC1D7/MARCHF2/MIOS/SNAP29/PSEN1/KLC2/C3AR1/TMEM192/PLAAT3/TMEM106B/SPNS1/GLIPR1/SLC11A2/TSPAN1/CHMP3/ATP6V1A/STOM/FCMR/TECPR1/LRP1/ABCD1/MROH1/CP/ANXA6/TMEM9B/RRAGB/ATP11B/SLC37A3/SLC12A9/GPR143/ATP6V1D/CHMP4A/DAGLB/GAA/PRCP/AHNAK/SAR1A/TMEM30A/RHEB/GPLD1/HPS6/RDH14/ABCA2/CD164/TFEB/SYNGR1	285	go_cc
GO:0098852	GO:0098852	lytic vacuole membrane	285/7816	412/12988	0.691747572815534	1.14949046516481	3.79060275976087	7.42977103431145e-05	0.0052528481212582	0.00462209966450323	HLA-DQA2/HLA-H/HLA-DQB2/HLA-DRB5/TPCN2/CHMP4BP1/FLCN/ABCC10/SLC11A1/ATP6V0D1/CLCN6/HLA-DQB1/TMEM9/SZT2/SEC13/HLA-DQA1/ABCD4/ATP6V0B/UBA1/TMEM59/CSF3R/TPCN1/AP1M2/BLOC1S1/FPR1/MARCHF9/ATP6AP1/AP5B1/SIDT2/TFE3/SLC38A7/RAB5C/PIP4P1/SLC48A1/CHMP2A/AP3D1/SURF4/IFITM2/ATP6V0A2/TMEM165/ITFG2/GLMP/IFITM1/CYB561/SYT7/SLC35F6/AP1B1/TOM1/RNASEK/AP2S1/DPP4/TMEM79/CTNS/AP5S1/NPRL3/CHMP4B/LDLR/IFITM3/SLC15A3/ATRAID/CLN3/LITAF/SLC7A5/HLA-DRB1/VPS18/KXD1/LAMTOR1/SLC39A14/VPS16/HLA-DOA/CKAP4/KPTN/TM9SF1/SLC26A11/ELAPOR1/LAMP3/CLN5/ACP2/CHMP6/GNB1/AP1M1/ACP3/AP2A2/ATP6V0A1/TMEM179B/ANPEP/SLC30A4/BRI3/TMBIM1/DDOST/RRAGA/WDR59/ABCB9/SCARB1/SNAPIN/DEPDC5/NKG7/RNF167/RILP/CTSA/RNF152/MCOLN1/SLC44A2/GNA11/LAMP1/SLC3A2/MEAK7/ATG16L1/B4GALT1/AP2A1/PGAP6/KCNK6/ABCA3/SLC66A1/FLOT1/CLEC10A/PI4K2A/BST2/DNAJC5/RAB3D/HLA-F/B2M/CLCN7/ARL8B/CCZ1/ANXA2/CPNE1/CD74/ATP6V1G1/PLD3/MGST1/STARD3NL/TMEM63A/HLA-DMA/ATP6V0C/ARL8A/ABCB6/BORCS8/AP1S1/CHMP1A/SLC49A4/HLA-DPB1/HLA-DPA1/VAMP8/BLOC1S2/NPRL2/PSAP/ATP6V0E2/BORCS7/CHMP1B/TMEM63B/LAMP2/ATP6AP2/CLTA/PLEKHM1/TMEM203/TSC2/NFAM1/HPS4/LAPTM5/STARD3/ATP6V1F/MYO7A/NDUFC2/SAR1B/HLA-DRA/CHMP2B/NCSTN/CHMP5/NPC1/LAMTOR2/SESN2/SLC29A3/ANKFY1/MFSD12/PRMT1/CEACAM6/SLC2A8/ZFYVE26/MTOR/SLC17A5/MAGT1/GBA1/LRRC8E/CD68/UBA52/ATP13A2/ZNRF2/SLC31A2/CLEC16A/VOPP1/LRRC8A/AP1G1/SLC12A4/MFSD1/LAMTOR5/PLEKHM2/CMTM6/VPS11/GRN/LAPTM4A/TM6SF1/CFTR/ARRB1/MPEG1/DRAM1/P2RX4/CYB561A3/STK11IP/LPCAT1/RAB7A/ENPEP/VAPA/CHMP7/TSC1/MARCHF8/CLCN3/CYBRD1/ITM2C/NAPG/VTI1B/RPTOR/CTSD/ECE1/GIMAP5/CDIP1/VPS39/ABHD6/CD63/SLC36A1/HGSNAT/NEU3/SPHK2/ATP6V1E1/ENTPD4/PIGR/TRAF3IP3/SPG11/ATP6V0E1/TBC1D7/MARCHF2/MIOS/SNAP29/PSEN1/KLC2/C3AR1/TMEM192/PLAAT3/TMEM106B/SPNS1/GLIPR1/SLC11A2/TSPAN1/CHMP3/ATP6V1A/STOM/FCMR/TECPR1/LRP1/ABCD1/MROH1/CP/ANXA6/TMEM9B/RRAGB/ATP11B/SLC37A3/SLC12A9/GPR143/ATP6V1D/CHMP4A/DAGLB/GAA/PRCP/AHNAK/SAR1A/TMEM30A/RHEB/GPLD1/HPS6/RDH14/ABCA2/CD164/TFEB/SYNGR1	285	go_cc
