B.cell	Luminal	Other
pt.0046.F3.Moonshot	115.462132850586	28.2437395988986	25.2888073343326
pt.008.3M.15c-008	50.0693017357718	29.883497962362	27.5896241197803
pt.008.3V.15c-008	62.8177402968034	37.3710239762807	35.4721194637761
pt.0097.F6.Moonshot	243.457929391768	33.1247662252819	35.1936266672718
pt.0104.E9.Moonshot	127.527153408163	50.1839789629629	51.8934654774364
pt.0162.F4.Moonshot	294.467240293105	59.6897071382671	63.7652719959732
pt.0204.I4.Moonshot	130.885610613194	43.8007907742785	44.2801904224348
pt.026.4G.15c-008	80.2339314488317	40.0688801756118	41.6017295500472
pt.026.4R.15c-008	140.321726818161	30.0400903741969	27.284470769231
pt.031.2X.15c-008	82.737867122837	39.6939038785941	39.6609549481136
pt.043.1K.15c-008	86.8401471052342	26.5553388640871	29.3509954642156
pt.043.1X.15c-008	123.331411463151	29.5426962079528	30.9729632900083
pt.049.2AI.15c-008	58.9563512827422	35.1802836206577	33.8358581615473
pt.049.2M.15c-008	59.8440747545976	32.5706189978209	26.7335856379506
pt.031.2A.15c-008	160.60853277077	27.3378421973025	32.6622824060957
