ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	group	Direction	logq	label_hjust
GO:0016064	immunoglobulin mediated immune response	27/78	189/16334	0.142857142857143	29.9157509157509	27.6961746714644	3.06273170254002e-33	1.74746429436963e-30	1.64010077444266e-30	IGLC2/IGLC3/IGHV4-34/IGHV3-15/FCER2/IGHV3-21/IGHV3-48/IGKC/IGHV4-59/IGHV3-49/IGHV3-11/IGHV3-33/IGHV3-20/IGHV5-51/IGHV4-61/IGHV3-66/IGHV1-18/IGHV2-70/IGHG1/IGHV3-72/IGHG2/IGHV1-69/IGHV1-69D/IGHV1-58/IGHV2-70D/IGLC7/IGHG4	27	go_bp	Down	29.7851294663183	0
GO:0019724	B cell mediated immunity	27/78	192/16334	0.140625	29.4483173076923	27.4664140906863	4.79414072529392e-33	1.74746429436963e-30	1.64010077444266e-30	IGLC2/IGLC3/IGHV4-34/IGHV3-15/FCER2/IGHV3-21/IGHV3-48/IGKC/IGHV4-59/IGHV3-49/IGHV3-11/IGHV3-33/IGHV3-20/IGHV5-51/IGHV4-61/IGHV3-66/IGHV1-18/IGHV2-70/IGHG1/IGHV3-72/IGHG2/IGHV1-69/IGHV1-69D/IGHV1-58/IGHV2-70D/IGLC7/IGHG4	27	go_bp	Down	29.7851294663183	0
GO:0002449	lymphocyte mediated immunity	28/78	367/16334	0.0762942779291553	15.9768043037798	20.100828658669	1.09976312433933e-26	2.67242439214458e-24	2.50823168708971e-24	CD160/IGLC2/IGLC3/IGHV4-34/IGHV3-15/FCER2/IGHV3-21/IGHV3-48/IGKC/IGHV4-59/IGHV3-49/IGHV3-11/IGHV3-33/IGHV3-20/IGHV5-51/IGHV4-61/IGHV3-66/IGHV1-18/IGHV2-70/IGHG1/IGHV3-72/IGHG2/IGHV1-69/IGHV1-69D/IGHV1-58/IGHV2-70D/IGLC7/IGHG4	28	go_bp	Down	23.6006323499078	0
GO:0002443	leukocyte mediated immunity	28/78	466/16334	0.0600858369098712	12.582590513921	17.5715876129523	8.21601738474484e-24	1.1978953346958e-21	1.12429711580719e-21	CD160/IGLC2/IGLC3/IGHV4-34/IGHV3-15/FCER2/IGHV3-21/IGHV3-48/IGKC/IGHV4-59/IGHV3-49/IGHV3-11/IGHV3-33/IGHV3-20/IGHV5-51/IGHV4-61/IGHV3-66/IGHV1-18/IGHV2-70/IGHG1/IGHV3-72/IGHG2/IGHV1-69/IGHV1-69D/IGHV1-58/IGHV2-70D/IGLC7/IGHG4	28	go_bp	Down	20.9491189034431	0
GO:0050853	B cell receptor signaling pathway	9/78	75/16334	0.12	25.1292307692308	14.5077689438705	7.82529544388285e-11	9.50773396431766e-09	8.92358252372606e-09	IGLC3/CD79A/BLK/IGKC/IGHM/IGHG1/IGHG2/IGLC7/IGHG4	9	go_bp	Down	8.04946075572158	0
GO:0050851	antigen receptor-mediated signaling pathway	10/78	210/16334	0.0476190476190476	9.97191697191697	9.06425125918228	5.8538667348394e-08	6.09638407099704e-06	5.72182462803852e-06	CD160/IGLC3/CD79A/BLK/IGKC/IGHM/IGHG1/IGHG2/IGLC7/IGHG4	10	go_bp	Down	5.24246545730362	0
GO:0002429	immune response-activating cell surface receptor signaling pathway	11/78	335/16334	0.0328358208955224	6.8761576731726	7.52736303430174	5.23494609313676e-07	4.77034462737087e-05	4.47725652702486e-05	CD160/IGLC3/CD79A/BLK/FCER2/IGKC/IGHM/IGHG1/IGHG2/IGLC7/IGHG4	11	go_bp	Down	4.34898802174796	0
GO:0000280	nuclear division	51/179	430/16334	0.118604651162791	10.8228400675588	21.7282191382369	1.30228381788896e-38	2.78428280264659e-35	2.44555192748831e-35	DMRTC2/MND1/TTK/NEK2/NCAPG/KIF4A/SPC25/UBE2C/SGO1/CDC25C/BUB1/KIF15/CDK1/SKA3/KNL1/NUSAP1/RAD54L/MKI67/PTTG1/FBXO43/BIRC5/NCAPH/MYBL2/AURKB/ANLN/CDC20/SPAG5/BUB1B/CENPI/UHRF1/PLK1/CENPE/ASPM/AURKA/CENPF/DLGAP5/KIF18B/TOP2A/KIFC1/KIF14/KIF23/TRIP13/HASPIN/CDCA8/RACGAP1/CCNB2/BRCA2/SKA1/KIF11/TPX2/SPC24	51	go_bp	Up	34.6116231111775	1
GO:0098813	nuclear chromosome segregation	45/179	314/16334	0.143312101910828	13.07742945593	22.7464744223186	1.20027296959126e-37	1.28309180449305e-34	1.12699314618463e-34	MND1/TTK/NEK2/NCAPG/KIF4A/SPC25/UBE2C/SGO1/BUB1/KIF15/CDK1/SKA3/KNL1/NUSAP1/PTTG1/BIRC5/NCAPH/MYBL2/AURKB/CDC20/SPAG5/BUB1B/CENPI/UHRF1/PLK1/CENPE/ASPM/AURKA/CENPF/DLGAP5/KIF18B/TOP2A/CDC6/KIFC1/KIF14/KIF23/TRIP13/HASPIN/CDCA8/RACGAP1/CCNB2/SKA1/KIF11/TPX2/SPC24	45	go_bp	Up	33.9480787251103	1
GO:0140014	mitotic nuclear division	42/179	274/16334	0.153284671532847	13.987440362109	22.8208645132076	2.41425901613946e-36	1.29042144412654e-33	1.13343107494547e-33	TTK/NEK2/NCAPG/KIF4A/SPC25/UBE2C/CDC25C/BUB1/KIF15/CDK1/SKA3/KNL1/NUSAP1/MKI67/FBXO43/BIRC5/NCAPH/MYBL2/AURKB/ANLN/CDC20/SPAG5/BUB1B/CENPI/UHRF1/PLK1/CENPE/AURKA/CENPF/DLGAP5/KIF18B/KIFC1/KIF14/KIF23/TRIP13/HASPIN/CDCA8/RACGAP1/SKA1/KIF11/TPX2/SPC24	42	go_bp	Up	32.9456048846076	1
GO:0000070	mitotic sister chromatid segregation	37/179	191/16334	0.193717277486911	17.6769721255375	24.4032561451834	6.5529332695004e-36	2.80203426603837e-33	2.46114377953447e-33	TTK/NEK2/NCAPG/KIF4A/SPC25/UBE2C/BUB1/KIF15/CDK1/SKA3/KNL1/NUSAP1/BIRC5/NCAPH/MYBL2/AURKB/CDC20/SPAG5/BUB1B/CENPI/UHRF1/PLK1/CENPE/CENPF/DLGAP5/KIF18B/KIFC1/KIF14/KIF23/TRIP13/HASPIN/CDCA8/RACGAP1/SKA1/KIF11/TPX2/SPC24	37	go_bp	Up	32.608863014158	1
GO:0000819	sister chromatid segregation	39/179	231/16334	0.168831168831169	15.406079953566	23.2115653526709	2.07090005519924e-35	6.32512045430854e-33	5.5556175916924e-33	TTK/NEK2/NCAPG/KIF4A/SPC25/UBE2C/BUB1/KIF15/CDK1/SKA3/KNL1/NUSAP1/BIRC5/NCAPH/MYBL2/AURKB/CDC20/SPAG5/BUB1B/CENPI/UHRF1/PLK1/CENPE/CENPF/DLGAP5/KIF18B/TOP2A/CDC6/KIFC1/KIF14/KIF23/TRIP13/HASPIN/CDCA8/RACGAP1/SKA1/KIF11/TPX2/SPC24	39	go_bp	Up	32.255267655579	1
GO:0044772	mitotic cell cycle phase transition	36/179	425/16334	0.0847058823529412	7.72953006901084	14.7966628213025	5.40223942332543e-22	9.92317980301306e-20	8.71594346343129e-20	TTK/CDKN3/SPC25/DTL/UBE2C/MELK/CDC25C/BUB1/CDK1/SKA3/RRM2/KNL1/TICRR/BIRC5/CCNA2/FOXM1/AURKB/ANLN/CDC20/BUB1B/PLK1/IQGAP3/CENPE/AURKA/CENPF/INHBA/DLGAP5/ORC1/CDC6/KIF14/TRIP13/HASPIN/CDCA8/CCNB2/SKA1/SPC24	36	go_bp	Up	19.0596855954978	1
GO:0044784	metaphase/anaphase transition of cell cycle	20/179	97/16334	0.206185567010309	18.8147209583597	18.523285104007	2.78214303238525e-20	2.37928872129586e-18	2.08982870306328e-18	TTK/SPC25/UBE2C/BUB1/SKA3/KNL1/BIRC5/AURKB/CDC20/BUB1B/PLK1/CENPE/CENPF/DLGAP5/CDC6/TRIP13/HASPIN/CDCA8/SKA1/SPC24	20	go_bp	Up	17.679889310235	1
GO:0031577	spindle checkpoint signaling	16/179	48/16334	0.333333333333333	30.4171322160149	21.4842279308748	3.64098774165263e-20	2.99401222755897e-18	2.62976604498311e-18	TTK/SPC25/BUB1/SKA3/KNL1/BIRC5/AURKB/CDC20/BUB1B/PLK1/CENPF/TRIP13/HASPIN/CDCA8/SKA1/SPC24	16	go_bp	Up	17.5800828864503	1
GO:0007346	regulation of mitotic cell cycle	36/179	486/16334	0.0740740740740741	6.75936271466998	13.5678598609449	4.81381220838792e-20	3.69353204188691e-18	3.24418352751034e-18	TTK/NEK2/SPC25/DTL/UBE2C/CDC25C/BUB1/CDK1/SKA3/RRM2/KNL1/NUSAP1/TICRR/MKI67/FBXO43/BIRC5/FOXM1/AURKB/ANLN/CDC20/BUB1B/PLK1/CENPE/AURKA/CENPF/INHBA/DLGAP5/ORC1/CDC6/KIF14/TRIP13/HASPIN/CDCA8/BRCA2/SKA1/SPC24	36	go_bp	Up	17.4888945851852	1
